model,Age,price,transmission,mileage,fuelType,tax,mpg,engineSize
 5 Series,7,11200,Automatic,67068,Diesel,125,57.6,2
 6 Series,3,27000,Automatic,14827,Petrol,145,42.8,2
 5 Series,5,16000,Automatic,62794,Diesel,160,51.4,3
 1 Series,4,12750,Automatic,26676,Diesel,145,72.4,1.5
 7 Series,7,14500,Automatic,39554,Diesel,160,50.4,3
 5 Series,5,14900,Automatic,35309,Diesel,125,60.1,2
 5 Series,4,16000,Automatic,38538,Diesel,125,60.1,2
 2 Series,3,16250,Manual,10401,Petrol,145,52.3,1.5
 4 Series,4,14250,Manual,42668,Diesel,30,62.8,2
 5 Series,5,14250,Automatic,36099,Diesel,20,68.9,2
 X3,4,15500,Manual,74907,Diesel,145,52.3,2
 1 Series,4,11800,Manual,29840,Diesel,20,68.9,2
 X3,5,15500,Automatic,77823,Diesel,125,54.3,2
 2 Series,6,10500,Manual,31469,Diesel,20,68.9,2
 X3,4,22000,Automatic,19057,Diesel,145,54.3,2
 3 Series,4,16500,Manual,16570,Diesel,125,58.9,2
 3 Series,4,14250,Automatic,55594,Other,135,148.7,2
 3 Series,4,16000,Automatic,45456,Diesel,30,64.2,2
 1 Series,4,15500,Automatic,22812,Diesel,20,68.9,1.5
 4 Series,7,14000,Automatic,47348,Diesel,125,60.1,2
 1 Series,6,9700,Automatic,75124,Diesel,20,70.6,2
 3 Series,6,12600,Automatic,78957,Diesel,30,62.8,2
 3 Series,5,15100,Automatic,29213,Diesel,30,64.2,2
 1 Series,5,9400,Manual,44498,Diesel,0,83.1,1.5
 1 Series,5,14300,Automatic,22461,Diesel,20,67.3,2
 1 Series,5,11200,Manual,23005,Petrol,125,53.3,1.5
 3 Series,2,17800,Automatic,22310,Diesel,145,64.2,2
 3 Series,5,14400,Automatic,51994,Diesel,30,62.8,2
 X5,5,19750,Automatic,96213,Diesel,165,52.3,2
 X3,6,17400,Automatic,50316,Diesel,200,47.9,3
 4 Series,4,16800,Automatic,44011,Diesel,150,65.7,2
 X4,4,23000,Automatic,34960,Diesel,150,54.3,2
 i3,5,17100,Automatic,25269,Other,0,470.8,0.6
 1 Series,4,20500,Automatic,24029,Petrol,145,39.8,3
 1 Series,4,11900,Manual,22920,Petrol,145,53.3,1.5
 2 Series,4,13000,Automatic,61818,Other,0,141.2,1.5
 3 Series,6,11500,Manual,59634,Diesel,125,61.4,2
 1 Series,5,13500,Manual,29226,Diesel,30,62.8,2
 X1,4,18900,Automatic,33514,Diesel,145,60.1,2
 1 Series,3,14600,Automatic,6522,Petrol,145,37.2,1.5
 3 Series,5,15800,Manual,11231,Petrol,145,47.9,2
 1 Series,5,11400,Manual,21591,Petrol,125,53.3,1.5
 X3,8,12000,Automatic,79972,Diesel,200,47.1,3
 1 Series,3,17500,Automatic,14037,Petrol,145,54.3,1.5
 5 Series,4,23500,Automatic,25034,Diesel,200,47.9,3
 X1,5,16700,Automatic,44478,Diesel,125,60.1,2
 X3,4,18000,Automatic,74852,Diesel,150,47.1,3
 4 Series,5,15500,Automatic,45856,Diesel,30,65.7,2
 1 Series,5,9200,Manual,48858,Diesel,0,83.1,1.5
 1 Series,4,11200,Manual,40399,Diesel,145,68.9,2
 1 Series,5,13200,Manual,17393,Diesel,30,65.7,2
 5 Series,7,11000,Automatic,84816,Diesel,30,62.8,2
 3 Series,4,18500,Automatic,27139,Diesel,160,51.4,3
 1 Series,4,12750,Automatic,91563,Diesel,125,60.1,2
 3 Series,7,14000,Manual,32139,Petrol,205,43.5,2
 X1,4,14000,Automatic,54120,Diesel,30,65.7,2
 X1,4,14000,Manual,20925,Diesel,150,68.9,2
 3 Series,5,12750,Manual,30521,Diesel,20,68.9,2
 X1,3,18000,Manual,16066,Petrol,150,51.4,1.5
 1 Series,6,11100,Manual,11524,Diesel,0,83.1,1.5
 1 Series,4,12700,Manual,21809,Petrol,145,53.3,1.5
 1 Series,4,14500,Automatic,27245,Diesel,145,68.9,2
 3 Series,8,12750,Automatic,35736,Diesel,125,58.9,2
 X1,4,14100,Automatic,55782,Diesel,145,65.7,2
 1 Series,5,10800,Manual,26404,Petrol,125,53.3,1.5
 1 Series,5,13000,Manual,26631,Petrol,125,52.3,1.5
 1 Series,5,12500,Manual,24111,Petrol,145,47.1,1.6
 3 Series,4,13600,Manual,22763,Petrol,145,48.7,2
 3 Series,5,12700,Manual,17385,Diesel,20,72.4,2
 5 Series,5,15600,Automatic,35474,Diesel,125,60.1,2
 4 Series,5,15250,Manual,16584,Diesel,30,62.8,2
 1 Series,3,11700,Manual,30273,Diesel,145,53.3,1.5
 2 Series,4,10900,Manual,62021,Diesel,145,65.7,2
 5 Series,5,14400,Automatic,51552,Diesel,30,62.8,2
 1 Series,5,11100,Manual,29508,Petrol,125,53.3,1.5
 1 Series,4,11100,Manual,30865,Diesel,145,72.4,1.5
 5 Series,7,12400,Automatic,46356,Diesel,30,62.8,2
 1 Series,5,12800,Manual,18343,Diesel,20,70.6,1.5
 5 Series,7,15000,Automatic,13858,Diesel,125,57.6,2
 2 Series,4,12750,Manual,33752,Petrol,125,52.3,1.5
 X3,5,21750,Automatic,19083,Diesel,150,54.3,2
 2 Series,4,13900,Automatic,46281,Petrol,125,51.4,1.5
 X1,4,14000,Automatic,54183,Diesel,150,65.7,2
 X1,4,15200,Automatic,36701,Diesel,30,65.7,2
 3 Series,4,13500,Automatic,48082,Petrol,150,51.4,2
 X1,5,12150,Manual,77482,Diesel,20,68.9,2
 2 Series,4,16000,Automatic,32389,Other,0,141.2,1.5
 5 Series,5,14000,Automatic,39235,Diesel,30,62.8,2
 3 Series,3,19490,Automatic,30703,Diesel,145,57.6,2
 1 Series,6,15499,Semi-Auto,20000,Diesel,125,60.1,2
 2 Series,4,13000,Semi-Auto,34971,Diesel,150,72.4,1.5
 1 Series,7,10600,Semi-Auto,44900,Diesel,30,64.2,2
 X3,4,23000,Semi-Auto,16945,Diesel,150,54.3,2
 M4,5,29998,Semi-Auto,34209,Petrol,300,34,3
 1 Series,4,12498,Manual,14138,Diesel,20,72.4,1.5
 1 Series,6,7948,Manual,74375,Diesel,30,65.7,2
 X1,4,17800,Automatic,31238,Diesel,145,55.4,2
 3 Series,6,13100,Manual,37204,Diesel,30,64.2,2
 1 Series,4,11400,Manual,26265,Diesel,0,83.1,1.5
 3 Series,5,14800,Automatic,38838,Diesel,125,57.6,2
 X3,5,15900,Automatic,59692,Diesel,145,54.3,2
 3 Series,5,16300,Automatic,34623,Diesel,125,57.6,2
 3 Series,4,14800,Manual,29968,Diesel,30,64.2,2
 3 Series,4,19700,Automatic,27748,Diesel,200,49.6,3
 3 Series,6,14450,Automatic,47288,Diesel,30,62.8,2
 5 Series,5,13500,Automatic,64117,Diesel,30,65.7,2
 5 Series,6,10900,Automatic,79563,Diesel,125,60.1,2
 3 Series,5,12200,Manual,34842,Diesel,30,67.3,2
